"UID","treatment","hours"
"set122_35",0,96
"set122_36",0,96
"set122_37",0,96
"set122_130",0,96
"set122_131",0,96
"set122_38",0,96
"set122_39",0,96
"set122_135",0,96
"set122_151",0,96
"set122_152",0,96
"set122_55",0,96
"set122_56",0,96
"set122_57",0,96
"set122_61",0,96
"set122_62",0,96
"set122_63",0,96
"set122_82",0,96
"set122_83",0,96
"set122_84",0,96
"set122_103",0,96
"set122_104",0,96
"set122_105",0,96
"set122_109",0,96
"set122_110",0,96
"set122_111",0,96
"set122_156",0,96
"set122_157",0,96
"set122_158",0,96
"set122_177",0,96
"set122_178",0,96
"set122_179",0,96
"set122_183",0,96
"set122_199",0,96
"set122_200",0,96
"set122_204",0,96
"set122_205",0,96
"set122_206",0,96
"set122_225",0,96
"set122_226",0,96
"set122_227",0,96
"set122_231",0,96
"set122_247",0,96
"set122_248",0,96
"set19_17",0,0.5
"set19_41",0,2
"set19_45",0,4
"set19_65",0,8
"set19_69",0,24
"set19_89",0,48
"set19_93",0,72
"set19_113",0,0.5
"set19_137",0,2
"set19_141",0,4
"set19_161",0,8
"set19_165",0,24
"set19_185",0,48
"set19_189",0,72
"set19_233",0,2
"set19_237",0,4
"set19_257",0,8
"set19_261",0,24
"set19_281",0,48
"set19_285",0,72
"set19_305",0,0.5
"set19_309",0,1
"set19_329",0,2
"set19_333",0,4
"set19_353",0,8
"set19_357",0,24
"set19_377",0,48
"set19_381",0,72
"set19_401",0,0.5
"set19_405",0,1
"set19_425",0,2
"set19_429",0,4
"set19_449",0,8
"set19_453",0,24
"set19_473",0,48
"set19_477",0,72
"set19_497",0,0.5
"set19_501",0,1
"set19_521",0,2
"set19_525",0,4
"set19_545",0,8
"set19_549",0,24
"set19_569",0,48
"set19_573",0,72
"set19_593",0,0.5
"set19_597",0,1
"set19_609",0,0.5
"set19_613",0,1
"set19_617",0,2
"set19_621",0,4
"set19_633",0,2
"set19_637",0,4
"set19_641",0,8
"set19_645",0,24
"set19_657",0,8
"set19_661",0,24
"set19_665",0,48
"set19_669",0,72
"set19_681",0,48
"set19_685",0,72
"set19_689",0,0.5
"set19_693",0,1
"set19_705",0,0.5
"set19_709",0,1
"set19_713",0,2
"set19_717",0,4
"set19_729",0,2
"set19_733",0,4
"set19_737",0,8
"set19_741",0,24
"set19_753",0,8
"set19_757",0,24
"set19_761",0,48
"set19_765",0,72
"set19_777",0,48
"set19_781",0,72
"set19_785",0,0.5
"set19_789",0,1
"set19_801",0,0.5
"set19_805",0,1
"set19_809",0,2
"set19_813",0,4
"set19_825",0,2
"set19_829",0,4
"set19_833",0,8
"set19_837",0,24
"set19_849",0,8
"set19_853",0,24
"set19_857",0,48
"set19_861",0,72
"set19_873",0,48
"set19_877",0,72
"set19_881",0,0.5
"set19_885",0,1
"set19_897",0,0.5
"set19_901",0,1
"set19_905",0,2
"set19_909",0,4
"set19_921",0,2
"set19_925",0,4
"set19_929",0,8
"set19_933",0,24
"set19_945",0,8
"set19_949",0,24
"set19_953",0,48
"set19_957",0,72
"set19_969",0,48
"set19_973",0,72
"set19_993",0,0.5
"set19_997",0,1
"set19_1017",0,2
"set19_1021",0,4
"set19_1041",0,8
"set19_1045",0,24
"set19_1049",0,48
"set19_1053",0,72
"set38_30",0,1
"set38_36",0,1
"set38_294",0,1
"set38_300",0,1
"set38_612",0,0.25
"set38_635",0,0.5
"set38_658",0,1
"set38_705",0,4
"set38_729",0,12
"set38_753",0,24
"set38_563",0,1
"set38_798",0,1
"set38_804",0,1
"set38_54",0,2
"set38_60",0,2
"set38_318",0,2
"set38_324",0,2
"set38_584",0,2
"set38_822",0,2
"set38_828",0,2
"set38_78",0,0.083
"set38_84",0,0.083
"set38_342",0,0.083
"set38_348",0,0.083
"set38_606",0,0.083
"set38_846",0,0.083
"set38_852",0,0.083
"set38_102",0,0.25
"set38_108",0,0.25
"set38_366",0,0.25
"set38_372",0,0.25
"set38_676",0,1
"set38_699",0,2
"set38_723",0,4
"set38_747",0,12
"set38_870",0,0.25
"set38_876",0,0.25
"set38_126",0,0.5
"set38_132",0,0.5
"set38_390",0,0.5
"set38_396",0,0.5
"set38_894",0,0.5
"set38_900",0,0.5
"set38_150",0,1
"set38_156",0,1
"set38_414",0,1
"set38_420",0,1
"set38_918",0,1
"set38_924",0,1
"set38_174",0,2
"set38_180",0,2
"set38_438",0,2
"set38_444",0,2
"set38_942",0,2
"set38_948",0,2
"set38_198",0,4
"set38_204",0,4
"set38_462",0,4
"set38_468",0,4
"set38_966",0,4
"set38_972",0,4
"set38_222",0,12
"set38_228",0,12
"set38_486",0,12
"set38_492",0,12
"set38_990",0,12
"set38_996",0,12
"set38_246",0,24
"set38_252",0,24
"set38_510",0,24
"set38_516",0,24
"set38_1014",0,24
"set38_1020",0,24
"set38_270",0,72
"set38_276",0,72
"set38_534",0,72
"set38_1026",0,72
"set38_1032",0,72
"set38_64",0,2
"set38_88",0,0.083
"set38_111",0,0.25
"set38_134",0,0.5
"set38_157",0,1
"set38_168",0,2
"set38_192",0,4
"set38_216",0,12
"set38_240",0,24
"set38_264",0,72
"set38_282",0,1
"set38_288",0,1
"set38_522",0,1
"set38_528",0,1
"set38_740",0,1
"set38_758",0,1
"set38_70",0,0.083
"set38_94",0,0.25
"set38_117",0,0.5
"set38_162",0,2
"set38_186",0,4
"set38_210",0,12
"set38_234",0,24
"set38_258",0,72
"set38_306",0,2
"set38_764",0,2
"set38_782",0,2
"set38_312",0,0.083
"set38_330",0,0.083
"set38_547",0,0.083
"set38_565",0,0.083
"set38_788",0,0.083
"set38_806",0,0.083
"set38_336",0,0.25
"set38_354",0,0.25
"set38_571",0,0.25
"set38_589",0,0.25
"set38_812",0,0.25
"set38_830",0,0.25
"set38_360",0,0.5
"set38_378",0,0.5
"set38_595",0,0.5
"set38_613",0,0.5
"set38_836",0,0.5
"set38_854",0,0.5
"set38_384",0,1
"set38_402",0,1
"set38_619",0,1
"set38_637",0,1
"set38_860",0,1
"set38_878",0,1
"set38_408",0,2
"set38_426",0,2
"set38_643",0,2
"set38_661",0,2
"set38_884",0,2
"set38_902",0,2
"set38_432",0,4
"set38_450",0,4
"set38_667",0,4
"set38_685",0,4
"set38_908",0,4
"set38_926",0,4
"set38_456",0,12
"set38_474",0,12
"set38_691",0,12
"set38_709",0,12
"set38_932",0,12
"set38_950",0,12
"set38_480",0,24
"set38_498",0,24
"set38_715",0,24
"set38_733",0,24
"set38_956",0,24
"set38_974",0,24
"set41_84",0,2
"set41_112",0,24
"set41_134",0,24
"set66_35",0,0
"set66_36",0,0
"set66_251",0,0
"set66_252",0,0
"set66_275",0,0
"set66_276",0,0
"set66_539",0,0
"set66_540",0,0
"set66_779",0,0
"set66_780",0,0
"set66_803",0,0
"set66_804",0,0
"set66_59",0,0.083
"set66_60",0,0.083
"set66_83",0,0.25
"set66_84",0,0.25
"set66_107",0,0.5
"set66_108",0,0.5
"set66_131",0,1
"set66_132",0,1
"set66_155",0,4
"set66_156",0,4
"set66_179",0,12
"set66_180",0,12
"set66_203",0,24
"set66_204",0,24
"set66_227",0,48
"set66_228",0,48
"set66_299",0,0.083
"set66_300",0,0.083
"set66_323",0,0.25
"set66_324",0,0.25
"set66_347",0,0.5
"set66_348",0,0.5
"set66_371",0,1
"set66_372",0,1
"set66_395",0,2
"set66_396",0,2
"set66_419",0,4
"set66_420",0,4
"set66_443",0,12
"set66_444",0,12
"set66_467",0,24
"set66_468",0,24
"set66_491",0,48
"set66_492",0,48
